x,y
16.94444444,17.09189146
16.94444444,17.00827422
16.94444444,16.92165379
16.94444444,16.83942917
16.94444444,16.74502592
16.94444444,16.65414257
16.94444444,16.57195468
16.94444444,16.47714821
16.66666667,16.37810613
16.66666667,16.28652605
16.66666667,16.18326075
16.66666667,16.23599356
16.66666667,16.62156686
16.94444444,16.97620125
17.5,17.20488611
17.77777778,17.31441227
18.05555556,17.21708962
18.05555556,17.13290912
18.05555556,17.06187079
18.05555556,17.01442772
18.05555556,16.98347833
18.05555556,16.96659193
18.05555556,16.93021542
18.05555556,16.8593982
18.05555556,16.61907142
18.05555556,15.94251277
17.5,15.22351606
16.94444444,14.6426499
16.11111111,14.45967019
16.11111111,14.37541105
15.83333333,14.30365159
15.83333333,14.31282076
15.83333333,14.25979185
16.11111111,14.15264488
16.11111111,14.04033643
16.11111111,13.91689047
15.83333333,13.79080004
15.83333333,13.66577263
15.83333333,13.56910872
15.83333333,13.50609052
15.83333333,13.44632246
15.83333333,13.39353307
15.55555556,13.33290081
15.55555556,13.27210322
15.55555556,13.21090905
15.55555556,13.1508603
15.27777778,13.08858974
15.27777778,13.02699269
15.27777778,12.96082068
15.27777778,12.90336876
15.27777778,12.8373289
15.27777778,12.76929457
15,12.71011535
15,12.65866909
15,12.927079
15,13.56820531
15.55555556,14.15090339
16.11111111,14.6472172
16.66666667,15.07807737
17.22222222,15.49208569
17.77777778,15.88486276
18.05555556,16.22170174
18.33333333,16.48238235
18.61111111,16.66487019
19.16666667,16.74640909
19.16666667,16.68749472
19.44444444,16.59843697
19.44444444,16.50898487
19.44444444,16.4191384
19.44444444,16.32224609
19.44444444,16.23019952
19.44444444,16.08445378
19.44444444,15.93653508
19.44444444,15.77446735
19.44444444,15.57645759
19.16666667,15.34353288
19.16666667,14.83308324
18.88888889,14.33432403
18.33333333,13.81397066
18.05555556,13.21881876
17.5,12.60535296
16.66666667,11.99145141
16.11111111,11.43101472
15.55555556,11.06109634
15,10.68944488
14.44444444,10.31606037
13.88888889,9.859166803
13.33333333,9.356408819
12.77777778,8.880560376
12.22222222,8.445958941
11.66666667,8.020077409
11.11111111,7.599208683
10.55555556,7.175358801
10,6.724173961
9.444444444,6.250410581
8.888888889,5.760834463
8.333333333,5.261507255
7.777777778,4.748230226
7.222222222,4.209223835
6.666666667,3.642938542
6.111111111,3.050487884
5.555555556,2.448471158
4.722222222,1.846481331
4.166666667,1.250844304
3.611111111,0.642341701
3.333333333,0.039118793
2.777777778,0.54963118
2.222222222,1.119333807
1.666666667,1.566084738
1.111111111,1.830512656
0.833333333,2.087819281
0.555555556,2.30806911
0.277777778,2.337994657
0.277777778,2.700583618
0.277777778,2.73812566
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.277777778,0.451147554
0.833333333,1.217481405
1.388888889,2.268313486
2.5,3.327105921
3.333333333,4.402629562
4.444444444,5.47612468
5.555555556,6.549591539
6.666666667,7.619842838
7.777777778,8.685885781
8.888888889,9.741924554
10,10.81212515
11.11111111,11.88830529
12.5,12.94897532
13.61111111,13.76818668
14.44444444,14.18502386
15,14.36751137
15.27777778,14.37790364
15.55555556,14.41367325
15.55555556,14.46200337
15.55555556,14.52354392
15.83333333,14.57820772
15.83333333,14.65893374
15.83333333,15.09106311
16.38888889,15.55371746
17.22222222,15.89140185
17.77777778,16.1675365
18.33333333,16.36052258
18.61111111,16.43354627
19.16666667,16.37711044
19.44444444,16.25497751
19.44444444,15.98002027
19.72222222,15.59392209
19.44444444,15.2318523
19.44444444,14.96926882
19.44444444,14.80691121
19.44444444,14.63337491
19.44444444,14.44429989
19.44444444,14.22802532
19.72222222,13.92183547
19.72222222,13.64009143
19.44444444,13.51711936
19.44444444,13.41337792
19.44444444,13.28739337
19.44444444,13.14418017
19.44444444,12.99320482
19.44444444,12.82405196
19.44444444,12.64917272
19.44444444,12.45083699
19.44444444,12.27282755
19.16666667,12.12707377
19.16666667,12.00878776
19.16666667,11.918884
18.88888889,11.8350826
18.88888889,11.74022832
18.61111111,11.63005536
18.61111111,11.5142723
18.33333333,11.36878342
18.33333333,11.21387485
18.05555556,11.08521246
18.05555556,10.98279626
17.77777778,11.07907776
17.77777778,11.24852015
17.77777778,11.45320748
17.77777778,11.69313301
18.05555556,11.62820796
17.77777778,11.48434318
17.5,11.15176087
16.94444444,10.91182477
16.66666667,10.82450692
16.38888889,10.68740664
16.11111111,10.4156809
15.55555556,10.02835751
15,9.583796066
14.44444444,9.157121498
13.88888889,8.735678786
13.33333333,8.342653759
12.5,7.944415541
11.94444444,7.519320186
11.38888889,7.0460562
11.11111111,6.530994644
10.55555556,5.981317049
9.722222222,5.404823602
9.166666667,4.802917457
8.611111111,4.188553848
8.055555556,3.560502977
7.5,2.939693764
6.944444444,2.327246613
6.388888889,1.711841142
5.833333333,1.100903709
5,0.492801598
4.722222222,0.11965048
4.166666667,0.738692836
3.611111111,1.348789672
3.055555556,1.941421221
2.5,2.525706091
1.944444444,3.078883758
1.388888889,3.413484442
0.833333333,3.699041034
0.555555556,3.964032907
0.277777778,4.011110606
0.277777778,4.050579856
0.277777778,4.369938037
0.277777778,4.40602441
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.277777778,0.554196764
0.833333333,1.536720922
1.944444444,2.589100753
3.055555556,3.653835558
4.166666667,4.731126355
5.277777778,5.803757314
6.111111111,6.871677985
7.222222222,7.936423529
8.333333333,8.970937332
9.444444444,10.01003618
10.55555556,11.03134838
11.66666667,12.05138428
12.77777778,13.00901334
13.88888889,13.73422459
14.72222222,14.24649546
15.27777778,14.53067392
15.83333333,14.66723668
15.83333333,14.62570919
